AUDIO SIMILARITY REPORT (PANNs CNN14 + LanceDB)
================================================================================
                orig_title      cover_artist                cover_title  match_value
          Do I Wanna Know?      Will Gittens                 Easy On Me     0.683192
                     Creep       Hannah Grae                Sailor Song     0.682937
               Sailor Song        Lazulitchi         Birds Of A Feather     0.682873
       We Can’t Be Friends        Peter Katz                       Halo     0.682831
                    Coffee     Billie Eilish                      Creep     0.682692
               Sailor Song           Rhianne                       Bags     0.682377
                    Coffee      Dominic Fike                       Bags     0.682110
           Sweater Weather            Emilee                     Coffee     0.682081
       We Can’t Be Friends    Joseph Vincent                   Nonsense     0.681646
                    Snooze     Billie Eilish                      Creep     0.681624
                      Bags       Audrey Mika          Love On The Brain     0.681391
                  Nonsense Marianne Beaulieu                Sailor Song     0.680992
           Sweater Weather Marianne Beaulieu                Sailor Song     0.679903
         Love On The Brain      Celine Wanyi                     Snooze     0.679537
             Cruel Summer        Matt Wilson        We Can’t Be Friends     0.679342
               Sailor Song       Connie Park                     Sparks     0.679055
           Sweater Weather           Rhianne                       Bags     0.679023
                 I’m Yours       Connie Park                     Sparks     0.678555
                  Nonsense           Rhianne                       Bags     0.678143
         Take Me To Church      Alyssa Baker Can’t Help Falling In Love     0.677590
Can’t Help Falling In Love      Dixzie Cruel                   Nonsense     0.677304
                 I’m Yours           Rhianne                       Bags     0.676988
                    Snooze       Audrey Mika          Love On The Brain     0.676828
        Birds Of A Feather           Rhianne                       Bags     0.676690
        Birds Of A Feather      Dixzie Cruel                   Nonsense     0.676167
                      Bags       Matt Wilson        We Can’t Be Friends     0.675444
                    Snooze        Lucy Ellis Can’t Help Falling In Love     0.674763
                      Halo       Audrey Mika          Love On The Brain     0.674292
                Easy On Me       Connie Park                     Sparks     0.673967
                  Stitches        Lazulitchi         Birds Of A Feather     0.673548
                      Bags        Nica Tupas        We Can’t Be Friends     0.673360
                     Creep       Audrey Mika          Love On The Brain     0.673249
         Take Me To Church            Emilee                     Coffee     0.672821
                     Creep     Forest Slater                     Sparks     0.672739
                    Snooze      Dominic Fike                       Bags     0.672480
           Sweater Weather      Alessia Cara            Sweater Weather     0.672297
                  Nonsense            Emilee                     Coffee     0.671067
             Cruel Summer       Dominic Fike                       Bags     0.670114
         Love On The Brain Marianne Beaulieu                Sailor Song     0.669668
         Take Me To Church      Celine Wanyi                     Snooze     0.669498
             Cruel Summer      Billie Eilish                      Creep     0.669097
                     Creep       Matt Wilson        We Can’t Be Friends     0.668711
         Take Me To Church Marianne Beaulieu                Sailor Song     0.668363
                Easy On Me     Forest Slater                     Sparks     0.667231
                  Nonsense      Will Gittens                 Easy On Me     0.666490
                    Snooze     Forest Slater                     Sparks     0.665838
Can’t Help Falling In Love      Celine Wanyi                     Snooze     0.664595
         Take Me To Church     Forest Slater                     Sparks     0.663010
             Cruel Summer    Hearts & Colors                  I’m Yours     0.662057
          Do I Wanna Know?       Matt Wilson        We Can’t Be Friends     0.661671
                  Stitches      Alyssa Baker Can’t Help Falling In Love     0.661569
                      Bags       Hannah Grae                Sailor Song     0.661521
        Birds Of A Feather      Alyssa Baker Can’t Help Falling In Love     0.661515
                      Halo    Joseph Vincent                   Nonsense     0.660926
                    Snooze            Emilee                     Coffee     0.660831
         Love On The Brain      Dixzie Cruel                   Nonsense     0.660414
               Sailor Song      Alyssa Baker Can’t Help Falling In Love     0.659160
                      Bags        Lucy Ellis Can’t Help Falling In Love     0.659110
                     Creep           Rhianne                       Bags     0.658949
           Sweater Weather     Alyssa Bernal                  I’m Yours     0.657964
                    Snooze Marianne Beaulieu                Sailor Song     0.657439
                  Stitches          Noah Red                     Snooze     0.656581
                      Bags  Jasmine Thompson                       Halo     0.656490
                Easy On Me      Dustin Vuong                     Coffee     0.656405
                 I’m Yours     Forest Slater                     Sparks     0.655666
                     Creep            Emilee                     Coffee     0.655572
          Do I Wanna Know?      Alessia Cara            Sweater Weather     0.655505
Can’t Help Falling In Love           Rhianne                       Bags     0.654898
                    Snooze           Rhianne                       Bags     0.654530
                     Creep      Alessia Cara            Sweater Weather     0.653125
           Sweater Weather      Dustin Vuong                     Coffee     0.652986
          Do I Wanna Know?     Forest Slater                     Sparks     0.652303
                      Bags      Celine Wanyi                     Snooze     0.652208
             Cruel Summer   Jasmine Thompson                       Halo     0.652080
                      Bags Marianne Beaulieu                Sailor Song     0.650996
                    Coffee    Kelly Clarkson         Birds Of A Feather     0.650900
         Love On The Brain            Emilee                     Coffee     0.650709
                  Nonsense      Alessia Cara            Sweater Weather     0.650259
        Birds Of A Feather            Emilee                     Coffee     0.649426
             Cruel Summer         Nica Tupas        We Can’t Be Friends     0.649131
       We Can’t Be Friends       Hannah Grae                Sailor Song     0.649021
                    Snooze      Dixzie Cruel                   Nonsense     0.648452
       We Can’t Be Friends       Audrey Mika          Love On The Brain     0.647875
                      Bags      Dixzie Cruel                   Nonsense     0.647650
                      Bags      Will Gittens                 Easy On Me     0.646772
          Do I Wanna Know?            Emilee                     Coffee     0.646531
                    Snooze      Alessia Cara            Sweater Weather     0.646204
                  Nonsense      Dustin Vuong                     Coffee     0.646057
                Easy On Me        Lazulitchi         Birds Of A Feather     0.645982
         Love On The Brain           Rhianne                       Bags     0.645741
         Love On The Brain     Forest Slater                     Sparks     0.645494
                Easy On Me     Alyssa Bernal                  I’m Yours     0.643911
               Sailor Song          Noah Red                     Snooze     0.643761
         Love On The Brain      Alyssa Baker Can’t Help Falling In Love     0.643184
         Take Me To Church     Alyssa Bernal                  I’m Yours     0.643085
                  Nonsense        Nica Tupas        We Can’t Be Friends     0.642996
           Sweater Weather      Alyssa Baker Can’t Help Falling In Love     0.642522
Can’t Help Falling In Love          Noah Red                     Snooze     0.642212
       We Can’t Be Friends      Dominic Fike                       Bags     0.642080
                     Creep      Dustin Vuong                     Coffee     0.642065
                      Halo        Nica Tupas        We Can’t Be Friends     0.642039
        Birds Of A Feather     Forest Slater                     Sparks     0.640704
       We Can’t Be Friends        Lucy Ellis Can’t Help Falling In Love     0.640365
       We Can’t Be Friends       Connie Park                     Sparks     0.640048
       We Can’t Be Friends      Will Gittens                 Easy On Me     0.639612
                 I’m Yours          Noah Red                     Snooze     0.639152
          Do I Wanna Know?  Jasmine Thompson                       Halo     0.638237
       We Can’t Be Friends     Leroy Sanchez                   Stitches     0.637978
         Love On The Brain      Alessia Cara            Sweater Weather     0.636758
                  Nonsense      Alyssa Baker Can’t Help Falling In Love     0.636246
       We Can’t Be Friends    Joseph Solomon          Love On The Brain     0.636098
                    Snooze      Alyssa Baker Can’t Help Falling In Love     0.636094
        Birds Of A Feather       Connie Park                     Sparks     0.635209
                      Halo  Jasmine Thompson                       Halo     0.632722
             Cruel Summer       Celine Wanyi                     Snooze     0.632228
          Do I Wanna Know? Marianne Beaulieu                Sailor Song     0.631498
       We Can’t Be Friends            Emilee                     Coffee     0.631013
                      Halo        Lucy Ellis Can’t Help Falling In Love     0.630997
                      Halo      Celine Wanyi                     Snooze     0.630709
                     Creep     Alyssa Bernal                  I’m Yours     0.630615
                 I’m Yours        Lazulitchi         Birds Of A Feather     0.630194
         Take Me To Church        Lazulitchi         Birds Of A Feather     0.630075
             Cruel Summer        Audrey Mika          Love On The Brain     0.629538
                  Nonsense       Connie Park                     Sparks     0.627785
                    Snooze       Connie Park                     Sparks     0.627651
         Take Me To Church           Rhianne                       Bags     0.626529
           Sweater Weather          Noah Red                     Snooze     0.626251
           Sweater Weather       Connie Park                     Sparks     0.626237
             Cruel Summer      Leroy Sanchez                   Stitches     0.625611
             Cruel Summer         Lucy Ellis Can’t Help Falling In Love     0.625361
          Do I Wanna Know?      Celine Wanyi                     Snooze     0.625215
                     Creep      Celine Wanyi                     Snooze     0.624991
                    Snooze     Alyssa Bernal                  I’m Yours     0.624951
                    Snooze        Lazulitchi         Birds Of A Feather     0.623706
         Love On The Brain     Alyssa Bernal                  I’m Yours     0.623564
             Cruel Summer        Hannah Grae                Sailor Song     0.623392
                      Halo    Joseph Solomon          Love On The Brain     0.622881
                      Bags      Alyssa Baker Can’t Help Falling In Love     0.622352
          Do I Wanna Know?      Dustin Vuong                     Coffee     0.622044
                      Bags           Rhianne                       Bags     0.621931
                     Creep      Alyssa Baker Can’t Help Falling In Love     0.620072
                      Bags            Emilee                     Coffee     0.620056
       We Can’t Be Friends           Rhianne                       Bags     0.619613
                      Halo       Hannah Grae                Sailor Song     0.619023
                      Halo      Dominic Fike                       Bags     0.618879
             Cruel Summer       Will Gittens                 Easy On Me     0.618541
          Do I Wanna Know?           Rhianne                       Bags     0.618198
                      Halo   Hearts & Colors                  I’m Yours     0.617250
       We Can’t Be Friends Marianne Beaulieu                Sailor Song     0.617183
                Easy On Me          Noah Red                     Snooze     0.615063
           Sweater Weather        Lazulitchi         Birds Of A Feather     0.614693
        Birds Of A Feather      Alessia Cara            Sweater Weather     0.614495
             Cruel Summer     Joseph Solomon          Love On The Brain     0.614426
                      Bags     Forest Slater                     Sparks     0.611769
                  Nonsense     Alyssa Bernal                  I’m Yours     0.611589
         Love On The Brain       Connie Park                     Sparks     0.610979
                    Coffee    Sofia Karlberg          Take Me To Church     0.608976
         Take Me To Church          Noah Red                     Snooze     0.608794
          Do I Wanna Know?     Alyssa Bernal                  I’m Yours     0.608068
                     Creep          Noah Red                     Snooze     0.606724
                      Bags      Alessia Cara            Sweater Weather     0.604318
                    Snooze          Noah Red                     Snooze     0.603993
                     Creep       Connie Park                     Sparks     0.602147
        Birds Of A Feather      Dustin Vuong                     Coffee     0.600609
        Birds Of A Feather        Lazulitchi         Birds Of A Feather     0.598969
                      Halo      Alyssa Baker Can’t Help Falling In Love     0.597828
             Cruel Summer       Dixzie Cruel                   Nonsense     0.595907
       We Can’t Be Friends      Dixzie Cruel                   Nonsense     0.595891
                  Nonsense     Forest Slater                     Sparks     0.595684
                      Halo      Will Gittens                 Easy On Me     0.595399
       We Can’t Be Friends     Forest Slater                     Sparks     0.592831
                      Halo     Leroy Sanchez                   Stitches     0.592665
                      Bags      Dustin Vuong                     Coffee     0.592206
         Take Me To Church       Connie Park                     Sparks     0.591559
                     Creep        Lazulitchi         Birds Of A Feather     0.590464
         Love On The Brain      Dustin Vuong                     Coffee     0.587123
          Do I Wanna Know?          Noah Red                     Snooze     0.585243
         Love On The Brain        Lazulitchi         Birds Of A Feather     0.585115
        Birds Of A Feather     Alyssa Bernal                  I’m Yours     0.584593
                      Bags     Alyssa Bernal                  I’m Yours     0.583931
             Cruel Summer             Emilee                     Coffee     0.583751
             Cruel Summer  Marianne Beaulieu                Sailor Song     0.583642
       We Can’t Be Friends        Lazulitchi         Birds Of A Feather     0.581658
                      Halo Marianne Beaulieu                Sailor Song     0.581220
          Do I Wanna Know?      Alyssa Baker Can’t Help Falling In Love     0.581073
             Cruel Summer       Alyssa Baker Can’t Help Falling In Love     0.580970
         Love On The Brain          Noah Red                     Snooze     0.579225
                      Halo            Emilee                     Coffee     0.577073
                      Bags       Connie Park                     Sparks     0.575118
                    Snooze      Dustin Vuong                     Coffee     0.574325
                      Halo           Rhianne                       Bags     0.573210
             Cruel Summer            Rhianne                       Bags     0.572574
          Do I Wanna Know?        Lazulitchi         Birds Of A Feather     0.570716
                      Halo      Dixzie Cruel                   Nonsense     0.569071
       We Can’t Be Friends      Dustin Vuong                     Coffee     0.568889
       We Can’t Be Friends     Alyssa Bernal                  I’m Yours     0.565903
             Cruel Summer      Forest Slater                     Sparks     0.564717
          Do I Wanna Know?       Connie Park                     Sparks     0.561742
             Cruel Summer        Connie Park                     Sparks     0.561720
                  Nonsense        Lazulitchi         Birds Of A Feather     0.558977
             Cruel Summer       Alessia Cara            Sweater Weather     0.556781
                      Bags        Lazulitchi         Birds Of A Feather     0.552848
                  Nonsense          Noah Red                     Snooze     0.552757
       We Can’t Be Friends      Alessia Cara            Sweater Weather     0.550171
        Birds Of A Feather          Noah Red                     Snooze     0.549060
                      Halo       Connie Park                     Sparks     0.548048
                      Bags          Noah Red                     Snooze     0.544332
             Cruel Summer      Alyssa Bernal                  I’m Yours     0.544212
                      Halo     Forest Slater                     Sparks     0.538304
                      Halo      Alessia Cara            Sweater Weather     0.533131
             Cruel Summer       Dustin Vuong                     Coffee     0.526786
             Cruel Summer         Lazulitchi         Birds Of A Feather     0.525637
                      Halo     Alyssa Bernal                  I’m Yours     0.522673
                      Halo      Dustin Vuong                     Coffee     0.517172
             Cruel Summer           Noah Red                     Snooze     0.510938
       We Can’t Be Friends          Noah Red                     Snooze     0.500613
                      Halo        Lazulitchi         Birds Of A Feather     0.496906
                      Halo          Noah Red                     Snooze     0.469921
================================================================================
