AUDIO SIMILARITY REPORT (PANNs CNN14 + LanceDB)
================================================================================
                orig_title      cover_artist                cover_title  match_value
         Love On The Brain     Conor Maynard                   Stitches     0.799612
                    Snooze     Conor Maynard                   Stitches     0.799470
                     Creep      Kina Grannis            Sweater Weather     0.798879
Can’t Help Falling In Love        Nica Tupas        We Can’t Be Friends     0.798764
                  Stitches    Joseph Solomon          Love On The Brain     0.798543
                  Stitches    Sofia Karlberg          Take Me To Church     0.798288
           Sweater Weather     Conor Maynard                   Stitches     0.797353
         Take Me To Church    Kelly Clarkson         Birds Of A Feather     0.796964
                Easy On Me     Alec Chambers               Cruel Summer     0.796231
Can’t Help Falling In Love       Teddy Swims               Cruel Summer     0.796194
                  Stitches        Nica Tupas        We Can’t Be Friends     0.795961
                    Coffee        Lucy Ellis Can’t Help Falling In Love     0.795840
Can’t Help Falling In Love   Hearts & Colors                  I’m Yours     0.795451
           Sweater Weather     Billie Eilish                      Creep     0.795414
             Cruel Summer     Kelly Clarkson         Birds Of A Feather     0.793682
                Easy On Me       Teddy Swims               Cruel Summer     0.792978
                    Coffee      Dustin Vuong                     Coffee     0.792771
                 I’m Yours              IMY2                      Creep     0.792537
                    Coffee     Leroy Sanchez                   Stitches     0.791753
           Sweater Weather   Hearts & Colors                  I’m Yours     0.790517
                Easy On Me    Kelly Clarkson         Birds Of A Feather     0.789444
                    Sparks            Emilee                     Coffee     0.789239
               Sailor Song        Nica Tupas        We Can’t Be Friends     0.789010
                 I’m Yours     Billie Eilish                      Creep     0.788677
                    Sparks           Lloyiso                 Easy On Me     0.788421
         Love On The Brain      Kina Grannis            Sweater Weather     0.787777
                    Sparks     Billie Eilish                      Creep     0.787529
Can’t Help Falling In Love    Sofia Karlberg          Take Me To Church     0.787367
Can’t Help Falling In Love    Kelly Clarkson         Birds Of A Feather     0.787334
                  Nonsense    Kelly Clarkson         Birds Of A Feather     0.786077
                    Sparks    Joseph Solomon          Love On The Brain     0.785911
        Birds Of A Feather     Alec Chambers               Cruel Summer     0.785794
                      Bags     Billie Eilish                      Creep     0.785773
                    Sparks        Lucy Ellis Can’t Help Falling In Love     0.785657
                 I’m Yours     Conor Maynard                   Stitches     0.784848
                      Bags    Kelly Clarkson         Birds Of A Feather     0.784758
                  Stitches     Conor Maynard                   Stitches     0.784500
                Easy On Me        Peter Katz                       Halo     0.784453
                 I’m Yours     Leroy Sanchez                   Stitches     0.784214
        Birds Of A Feather     Conor Maynard                   Stitches     0.784114
Can’t Help Falling In Love    Joseph Vincent                   Nonsense     0.783779
                  Nonsense        Peter Katz                       Halo     0.783408
         Love On The Brain    Joseph Vincent                   Nonsense     0.783274
                      Halo    Kelly Clarkson         Birds Of A Feather     0.783057
                 I’m Yours       Audrey Mika          Love On The Brain     0.782976
                  Nonsense    Sofia Karlberg          Take Me To Church     0.782757
                    Coffee      Kina Grannis            Sweater Weather     0.782537
                      Bags      Dominic Fike                       Bags     0.782526
Can’t Help Falling In Love              IMY2                      Creep     0.781744
                    Sparks Marianne Beaulieu                Sailor Song     0.781639
          Do I Wanna Know?      Kina Grannis            Sweater Weather     0.781360
         Take Me To Church     Alec Chambers               Cruel Summer     0.781172
                Easy On Me              IMY2                      Creep     0.780951
          Do I Wanna Know?    Sofia Karlberg          Take Me To Church     0.780900
Can’t Help Falling In Love        Peter Katz                       Halo     0.780679
                    Sparks  Jasmine Thompson                       Halo     0.780292
                     Creep        Peter Katz                       Halo     0.780285
        Birds Of A Feather      Kina Grannis            Sweater Weather     0.780024
         Take Me To Church    Joseph Vincent                   Nonsense     0.779906
         Take Me To Church     Conor Maynard                   Stitches     0.779837
                 I’m Yours    Joseph Vincent                   Nonsense     0.779109
                    Coffee     Alec Chambers               Cruel Summer     0.778885
           Sweater Weather           Lloyiso                 Easy On Me     0.778844
          Do I Wanna Know?    Joseph Vincent                   Nonsense     0.778758
         Love On The Brain        Peter Katz                       Halo     0.778269
                 I’m Yours           Lloyiso                 Easy On Me     0.777982
               Sailor Song       Hannah Grae                Sailor Song     0.777953
                  Stitches           Lloyiso                 Easy On Me     0.777685
                      Bags     Alec Chambers               Cruel Summer     0.777392
                      Bags      Kina Grannis            Sweater Weather     0.777139
         Love On The Brain           Lloyiso                 Easy On Me     0.776605
                    Sparks            Hozier           Do I Wanna Know?     0.776094
                     Creep    Kelly Clarkson         Birds Of A Feather     0.776053
                    Sparks      Dominic Fike                       Bags     0.775769
       We Can’t Be Friends     Conor Maynard                   Stitches     0.775602
                  Stitches      Will Gittens                 Easy On Me     0.775239
                    Sparks      Dixzie Cruel                   Nonsense     0.774917
                    Sparks    Kelly Clarkson         Birds Of A Feather     0.774060
Can’t Help Falling In Love        Lucy Ellis Can’t Help Falling In Love     0.773997
                     Creep     Alec Chambers               Cruel Summer     0.773643
Can’t Help Falling In Love      Kina Grannis            Sweater Weather     0.773367
                  Stitches  Jasmine Thompson                       Halo     0.773186
           Sweater Weather    Joseph Solomon          Love On The Brain     0.772951
         Take Me To Church   Hearts & Colors                  I’m Yours     0.772551
                    Snooze   Hearts & Colors                  I’m Yours     0.772139
             Cruel Summer      Conor Maynard                   Stitches     0.771823
                    Snooze              IMY2                      Creep     0.771159
                  Stitches     Billie Eilish                      Creep     0.771138
           Sweater Weather     Leroy Sanchez                   Stitches     0.771019
                     Creep    Sofia Karlberg          Take Me To Church     0.770462
                    Sparks       Matt Wilson        We Can’t Be Friends     0.770432
                      Bags    Sofia Karlberg          Take Me To Church     0.769903
Can’t Help Falling In Love       Hannah Grae                Sailor Song     0.769874
                      Bags        Peter Katz                       Halo     0.769668
                     Creep            Hozier           Do I Wanna Know?     0.769349
                  Stitches       Hannah Grae                Sailor Song     0.768047
                Easy On Me  Jasmine Thompson                       Halo     0.767031
                  Stitches      Celine Wanyi                     Snooze     0.766303
          Do I Wanna Know?    Kelly Clarkson         Birds Of A Feather     0.766302
                 I’m Yours    Kelly Clarkson         Birds Of A Feather     0.766082
                    Snooze     Alec Chambers               Cruel Summer     0.764984
                    Sparks    Sofia Karlberg          Take Me To Church     0.764969
                    Coffee      Alessia Cara            Sweater Weather     0.764738
               Sailor Song      Dominic Fike                       Bags     0.764651
                      Halo     Conor Maynard                   Stitches     0.764354
       We Can’t Be Friends       Matt Wilson        We Can’t Be Friends     0.764153
                  Nonsense       Teddy Swims               Cruel Summer     0.764109
                    Coffee   Hearts & Colors                  I’m Yours     0.762469
                    Sparks     Conor Maynard                   Stitches     0.762400
                    Coffee        Peter Katz                       Halo     0.761447
         Love On The Brain            Hozier           Do I Wanna Know?     0.761312
                Easy On Me      Celine Wanyi                     Snooze     0.761310
                     Creep     Billie Eilish                      Creep     0.760867
                  Nonsense       Audrey Mika          Love On The Brain     0.760118
                Easy On Me    Joseph Vincent                   Nonsense     0.759605
                Easy On Me        Nica Tupas        We Can’t Be Friends     0.758903
                 I’m Yours      Dominic Fike                       Bags     0.758778
        Birds Of A Feather        Peter Katz                       Halo     0.758651
                    Coffee        Lazulitchi         Birds Of A Feather     0.758373
        Birds Of A Feather        Nica Tupas        We Can’t Be Friends     0.757581
        Birds Of A Feather           Lloyiso                 Easy On Me     0.757173
        Birds Of A Feather     Billie Eilish                      Creep     0.756855
                  Nonsense           Lloyiso                 Easy On Me     0.756801
         Take Me To Church        Nica Tupas        We Can’t Be Friends     0.756578
         Take Me To Church     Leroy Sanchez                   Stitches     0.755899
                  Stitches      Dixzie Cruel                   Nonsense     0.755806
                  Nonsense    Joseph Solomon          Love On The Brain     0.755368
        Birds Of A Feather            Hozier           Do I Wanna Know?     0.755345
               Sailor Song    Joseph Solomon          Love On The Brain     0.755042
          Do I Wanna Know?     Alec Chambers               Cruel Summer     0.754983
         Love On The Brain     Billie Eilish                      Creep     0.754904
         Take Me To Church    Joseph Solomon          Love On The Brain     0.754280
               Sailor Song        Lucy Ellis Can’t Help Falling In Love     0.754126
                 I’m Yours      Dixzie Cruel                   Nonsense     0.753877
