pkid,url,song_id,title,artist,file_name,song_version,bpm
9461c657-add1-4fc7-b5ac-353de14c4143,https://youtu.be/pCSL48AI_Ms?si=eEqO3gpcXuD4fmM8,11,Halo,Beyonce,beyonce_halo.mp3,original,80.75
c063a4ac-e077-4fcd-b914-f65d277e58e0,https://youtu.be/BeMJoRppPDw?si=Ho39xdJMOZ00RoCn,11,Halo,Peter Katz,peter_katz_halo.mp3,cover,161.5
a17ddbdc-b940-4389-818c-f60f793e6f48,https://youtu.be/wda2qajOBi8?si=jKKRxLM9oiwRdx8J,11,Halo,Jasmine Thompson,jasmine_thompson_halo.mp3,cover,123.05
c4c062ea-7ea7-4460-b61d-da74d2413ebb,https://youtu.be/QMP-o8WXSPM?si=Lk2cRg3xz_3zrcGQ,12,Love On The Brain,Rihanna,rihanna_love_on_the_brain.mp3,original,172.27
2a040324-7686-47c4-afd5-eafcbd314227,https://youtu.be/f4W5heDO0fk?si=i1_EvEhybfydrcQy,12,Love On The Brain,Joseph Solomon,joseph_solomon_love_on_the_brain.mp3,cover,99.38
c1c10438-72a8-46d2-b0fe-ff29227ce78e,https://youtu.be/qmN2C0v6ivI?si=u-YULhpmo6FjTOCa,12,Love On The Brain,Audrey Mika,audrey_mika_love_on_the_brain.mp3,cover,172.27
e609952e-ba33-44d8-a8d8-d10909cbcfe7,https://youtu.be/ic8j13piAhQ?si=RPpPJpzOcGgROp88,13,Cruel Summer ,Taylor Swift,taylor_swift_cruel_summer.mp3,original,112.35
398918d5-6cfd-48e9-8eff-40f289df1549,https://youtu.be/m6XwKBMsZk0?si=jIumOd619bgjRs1o,13,Cruel Summer,Teddy Swims,teddy_swims_cruel_summer.mp3,cover,152.0
a6c5e896-f309-41b0-93da-f3f5ca119cb5,https://youtu.be/YnuZy7N-jP8?si=nkHUtPIhuqhRFkQD,13,Cruel Summer,Alec Chambers,alec_chambers_cruel_summer.mp3,cover,83.35
2a3db941-c0ae-4916-8257-9244394e0e5c,https://youtu.be/KWCBBjWqyEY?si=3-unNLbOioiymZqH,14,Coffee,Beabadoobee,beabadoobee_coffee.mp3,original,117.45
a355e7da-58c0-43af-952a-67851f431d55,https://youtu.be/1zSN_dzms2E?si=OlQa4fFsrtOm5wXx,14,Coffee,Emilee,emilee_coffee.mp3,cover,112.35
a8ae2618-4079-4559-b5ac-86caf81785f2,https://youtu.be/hKRD0w3UqBg?si=MT07igcF7iafwfwj,14,Coffee,Dustin Vuong,dustin_vuong_coffee.mp3,cover,117.45
2ca818b1-8053-4d21-8026-a757acea03a1,https://youtu.be/SLbSsv_2u4A?si=zAodlbeOvcwi16by,15,Creep,Radiohead,radiohead_creep.mp3,original,92.29
be16ef8d-6652-49df-a2b0-97a6fbf03065,https://youtu.be/9Qz3F5fGE7s?si=pEdlBEDMoFTkTTeT,15,Creep,Billie Eilish,billie_eilish_creep.mp3,cover,78.3
ff8306c4-b783-4aa2-823c-c35c66280860,https://youtu.be/dRIS77mu5xM?si=uuK92OW_9_I8xJ6q,15,Creep,IMY2,imy2_creep.mp3,cover,95.7
e86045bb-ffcc-4ed6-84e4-f8c529aeece6,https://youtu.be/vGJTaP6anOU?si=QmUnHm6VSSfPVne9,16,Can’t Help Falling In Love,Elvis Presley,elvis_presley_cant_help_falling_in_love.mp3,original,103.36
a167b3a9-8687-419e-8f46-b1b8cec890ad,https://youtu.be/jbLW2FtCliA?si=uwVlfpQVYf2ivSbh,16,Can’t Help Falling In Love,Alyssa Baker,alyssa_baker_cant_help_falling_in_love.mp3,cover,123.05
479c7c1a-15d7-4078-9233-1d1c8702e8f0,https://youtu.be/o3pdz3uEvRc?si=JeQZBuNZb0p33ssV,16,Can’t Help Falling In Love,Lucy Ellis,lucy_ellis_cant_help_falling_in_love.mp3,cover,107.67
c83e8c9f-185b-4410-9c37-3a8ec4c1bef0,https://youtu.be/nxfHXrzddMY?si=9rvD6dr43_gqXkME,17,I’m Yours,Jason Mraz,jason_mraz_im_yours.mp3,original,152.0
